Year, Establishments < 1 yr, DJIA yearly close, NASDAQ yearly close, S&P 500 yearly close, Trademarks Filed
1994, 569419, 3834.44,  751.96,  459.27,  161055
1995, 604415, 5117.12,  1052.13, 615.93,  188850
1996, 609638, 6448.27,  1291.03, 740.74,  212510
1997, 639114, 7908.30,  1570.35, 970.43,  234610
1998, 643070, 9181.43,  2192.69, 1229.23, 246611
1999, 650730, 11497.12, 4069.31, 1469.25, 260761
2000, 674644, 10787.99, 2470.52, 1320.28, 292464
2001, 671383, 10021.57, 1950.40, 1148.08, 216311
2002, 659236, 8341.63,  1335.51, 879.82,  212638
2003, 662543, 10453.92, 2003.37, 1111.92, 221739
2004, 653887, 10783.01, 2175.44, 1211.92, 250366
2005, 679925, 10717.50, 2205.32, 1248.29, 263677
2006, 715734, 12463.15, 2415.29, 1418.30, 276110
2007, 703834, 13264.82, 2652.28, 1468.36, 303501
2008, 678095, 8776.39,  1577.03, 903.25,  292726
2009, 608769, 10428.05, 2269.15, 1115.10, 265943
2010, 560588, 11577.51, 2652.87, 1257.64, 281462
2011, 582569, 12217.56, 2605.15, 1257.60, 305209
2012, 631817, 13104.14, 3019.51, 1426.19, 313325
2013, 629078, 16576.66, 4176.59, 1848.36, 323340
2014, 652780, 17823.07, 4736.05, 2058.90, 342576
2015, 679072, 17425.03, 5007.41, 2043.94, 374976
