Intellectual property right :Trademark

Indicator :3 - Total applications by class (direct and via the Madrid system)

Source: WIPO statistics database. Last updated: October 2019

Office,Office (Code),Origin,Nice classification,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"United States of America","US","Total","Other",32,47,49,51,38,41,715,897,863,806,758,1191,1727,800,998
"United States of America","US","Total","Class 01",4214,4231,4545,4860,4989,4436,4768,5074,5215,5140,5744,5745,5690,6202,5974
"United States of America","US","Total","Class 02",1338,1351,1274,1417,1452,1178,1247,1359,1294,1295,1564,1530,1534,1632,1597
"United States of America","US","Total","Class 03",11126,12155,11738,12778,12226,10955,11573,12410,12722,13077,14018,15458,16354,19526,22091
"United States of America","US","Total","Class 04",1420,1505,1669,1778,1789,1593,1635,1768,1706,1690,1914,1976,2075,2361,2424
"United States of America","US","Total","Class 05",12809,13043,14042,14707,14832,14128,14762,15531,15057,15779,19860,17576,18200,20388,22512
"United States of America","US","Total","Class 06",3181,3590,3658,4051,3915,3583,3682,3724,3604,3907,4137,4056,4526,4879,4992
"United States of America","US","Total","Class 07",4999,5255,5733,6359,6308,5479,5772,5835,6164,6344,6297,7013,7537,8663,9216
"United States of America","US","Total","Class 08",2073,1987,2157,2254,2075,1841,2037,2104,2217,2416,2658,3045,3774,4579,5000
"United States of America","US","Total","Class 09",36076,38558,39627,42838,40011,36695,39252,44014,46516,47451,52047,58445,59868,67428,67796
"United States of America","US","Total","Class 10",5751,6110,6211,6680,6688,6365,6875,6909,7355,7273,7797,8492,9387,10622,11555
"United States of America","US","Total","Class 11",5123,5404,5963,6475,6269,6001,6278,6431,6448,6794,7442,8471,10389,12987,12699
"United States of America","US","Total","Class 12",4665,4874,5012,5207,5148,4308,4593,4832,4954,4979,5484,6471,7221,7932,8255
"United States of America","US","Total","Class 13",560,564,698,687,788,781,732,785,890,978,1206,1345,1424,1600,1503
"United States of America","US","Total","Class 14",4804,5106,5120,5730,5266,4736,5519,5923,6056,6303,6459,7559,8279,9077,8923
"United States of America","US","Total","Class 15",634,682,716,688,678,546,658,659,726,692,732,752,825,942,914
"United States of America","US","Total","Class 16",18351,19152,18808,20412,18901,15753,15703,15990,15466,14765,14737,15850,15907,17366,18652
"United States of America","US","Total","Class 17",1595,1772,1788,2174,2211,1916,1960,1905,2026,2050,2033,2116,2376,2664,2500
"United States of America","US","Total","Class 18",4506,4936,5423,6287,6085,5056,5548,5964,6255,6476,6679,7877,9241,11358,11855
"United States of America","US","Total","Class 19",2793,3228,3414,3573,3451,2925,2713,2897,2701,2787,2894,3224,3403,3739,3609
"United States of America","US","Total","Class 20",5327,5498,5746,6589,5832,5326,5716,5697,5991,6125,6371,7077,8378,10848,11352
"United States of America","US","Total","Class 21",5081,4986,5135,5836,5667,5530,5789,5954,6262,6861,7552,8786,11166,14573,16253
"United States of America","US","Total","Class 22",683,737,721,794,850,705,792,841,928,941,922,1017,1370,1783,1763
"United States of America","US","Total","Class 23",269,306,269,274,273,184,179,238,240,223,251,285,266,380,361
"United States of America","US","Total","Class 24",2834,2929,3171,3539,3134,2791,2848,3110,3273,3373,3679,4223,5017,6628,7005
"United States of America","US","Total","Class 25",23020,24533,25419,28134,27662,25191,27738,29567,31690,33454,35146,39736,44419,52794,53770
"United States of America","US","Total","Class 26",962,1023,1099,1280,1241,1120,1244,1333,1408,1471,1451,1898,2364,3651,2998
"United States of America","US","Total","Class 27",851,913,939,989,1034,804,863,887,910,1043,971,1218,1391,2031,2121
"United States of America","US","Total","Class 28",11953,11551,10749,11671,10778,9627,10145,10638,11851,11806,12058,13262,14726,18483,18519
"United States of America","US","Total","Class 29",5550,5447,5909,6255,5778,5589,5834,6290,6528,6900,7255,8008,8450,8902,9073
